Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Type of Orbit;Longitude of GEO (degrees);Perigee (km);Apogee (km);Eccentricity;Inclination (degrees);Period (minutes);Launch Mass (kg.);Dry Mass (kg.);Power (watts);Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Site;Launch Vehicle;COSPAR Number;NORAD Number
Optus 10;Australia;Australia;Optus Communications (Parent: Singapore Telecom);Commercial;Communications;;GEO;;164.0;35772.0;35802.0;0.0003558127950281092;0.05;1436.11;3270.0;;;15.0;Space Systems/Loral;USA;Guiana Space Center;Ariane 5 ECA;2014-054A;40146
Optus and Defence C1;Australia;Australia;Optus Communications (Parent: Singapore Telecom)/Australian Ministry of Defense;Military/Commercial;Communications;;GEO;;156.06;35773.0;35799.0;0.0003083784040231521;0.02;1436.08;4800.0;2000;10600;15.0;Space Systems/Loral;USA;Guiana Space Center;Ariane 5G;2003-028B;27831
Optus D1;Australia;Australia;Optus Communications (Parent: Singapore Telecom);Commercial;Communications;;GEO;;160.06;35774.0;35797.0;0.00027279951607738016;0.02;1436.08;2300.0;;4800;15.0;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5 ECA;2006-043B;29495
Optus D2;Australia;Australia;Optus Communications (Parent: Singapore Telecom);Commercial;Communications;;GEO;;152.05;35774.0;35799.0;0.0002965141793080545;0.03;1436.1;2400.0;;3800;15.0;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5;2007-044A;32252
Optus D3;Australia;Australia;Optus Communications (Parent: Singapore Telecom);Commercial;Communications;;GEO;;155.98;35775.0;35795.0;0.00023721978412999644;0.04;1436.04;2501.0;;5000;15.0;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5;2009-044B;35756
ORBCOMM FM-10;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;770.0;776.0;0.00041999160016799666;45.0;100.3;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus;1997-084B;25113
ORBCOMM FM-11;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;769.0;777.0;0.0005599888002239956;45.0;100.3;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus;1997-084C;25114
ORBCOMM FM-12;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;770.0;776.0;0.00041999160016799666;45.0;100.3;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus;1997-084D;25115
ORBCOMM FM-13;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;788.0;795.0;0.0004887244292396844;45.0;100.7;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus XL;1998-046H;25420
ORBCOMM FM-14;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;789.0;794.0;0.000349088878028346;45.0;100.7;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus XL;1998-046G;25419
ORBCOMM FM-15;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;788.0;795.0;0.0004887244292396844;45.0;100.7;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus XL;1998-046F;25418
ORBCOMM FM-18;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;787.0;796.0;0.0006283599804510229;45.0;100.7;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus XL;1998-046B;25414
ORBCOMM FM-19;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;788.0;795.0;0.0004887244292396844;45.0;100.7;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus XL;1998-046C;25415
ORBCOMM FM-20;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;791.0;792.0;6.981777560566921e-05;45.0;100.7;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus XL;1998-046D;25416
ORBCOMM FM-21;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;810.0;822.0;0.0008349568605622043;45.0;101.21;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus;1998-053A;25475
ORBCOMM FM-23;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;788.0;794.0;0.00041893590280687055;45.0;100.7;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus;1998-053C;25477
ORBCOMM FM-27;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;790.0;792.0;0.00013964530093562352;45.0;100.7;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus;1998-053G;25481
ORBCOMM FM-30;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;788.0;796.0;0.0005585032113934655;45.0;100.7;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus XL;1999-065A;25980
ORBCOMM FM-31;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;788.0;795.0;0.0004887244292396844;45.0;100.7;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus XL;1999-065B;25981
ORBCOMM FM-32;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;786.0;796.0;0.0006982265046781176;45.0;100.7;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus XL;1999-065C;25982
ORBCOMM FM-35;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;788.0;795.0;0.0004887244292396844;45.0;100.7;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus XL;1999-065F;25985
ORBCOMM FM-36;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;788.0;795.0;0.0004887244292396844;45.0;100.7;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus XL;1999-065E;25984
ORBCOMM FM-4;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Polar;0.0;768.0;838.0;0.004879408894465356;108.0;100.9;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Vandenberg AFB;Taurus;1998-007C;25159
ORBCOMM FM-5;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;772.0;774.0;0.0001399972000559989;45.0;100.3;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus;1997-084F;25117
ORBCOMM FM-6;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;772.0;774.0;0.0001399972000559989;45.0;100.3;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus;1997-084G;25118
ORBCOMM FM-7;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;771.0;774.0;0.00021001050052502624;45.0;100.3;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus;1997-084H;25119
ORBCOMM FM-8;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;768.0;778.0;0.0006999860002799944;45.0;100.3;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus;1997-084A;25112
ORBCOMM FM-9;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;769.0;777.0;0.0005599888002239956;45.0;100.3;45.0;22;160;5.0;Orbital Sciences Corp.;USA;Wallops Island Flight Facility;Pegasus;1997-084E;25116
ORBCOMM FM-103;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;620.0;741.0;0.008580951705552798;47.0;98.36;172.0;;400;5.0;Boeing Corp./Sierra Nevada Corp.;USA;Cape Canaveral;Falcon 9;2014-040F;40091
ORBCOMM FM-107;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;620.0;739.0;0.008440314915951486;47.0;98.34;172.0;;400;5.0;Boeing Corp./Sierra Nevada Corp.;USA;Cape Canaveral;Falcon 9;2014-040B;40087
ORBCOMM FM-108;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;614.0;657.0;0.003069017200770823;47.0;97.42;172.0;;400;5.0;Boeing Corp./Sierra Nevada Corp.;USA;Cape Canaveral;Falcon 9;2015-081J;41187
ORBCOMM FM-109;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;620.0;739.0;0.008440314915951486;47.0;98.34;172.0;;400;5.0;Boeing Corp./Sierra Nevada Corp.;USA;Cape Canaveral;Falcon 9;2014-040A;40086
ORBCOMM FM-110;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;615.0;658.0;0.003068579176478984;47.0;97.44;172.0;;400;5.0;Boeing Corp./Sierra Nevada Corp.;USA;Cape Canaveral;Falcon 9;2015-081D;41182
ORBCOMM FM-112;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;614.0;657.0;0.003069017200770823;47.0;97.43;172.0;;400;5.0;Boeing Corp./Sierra Nevada Corp.;USA;Cape Canaveral;Falcon 9;2015-081F;41184
ORBCOMM FM-113;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;614.0;656.0;0.0029978586723768737;47.0;97.41;172.0;;400;5.0;Boeing Corp./Sierra Nevada Corp.;USA;Cape Canaveral;Falcon 9;2015-081G;41185
ORBCOMM FM-114;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;614.0;658.0;0.003140165572366543;47.0;97.43;172.0;;400;5.0;Boeing Corp./Sierra Nevada Corp.;USA;Cape Canaveral;Falcon 9;2015-081A;41179
ORBCOMM FM-115;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;613.0;655.0;0.002998286693318104;47.0;97.39;172.0;;400;5.0;Boeing Corp./Sierra Nevada Corp.;USA;Cape Canaveral;Falcon 9;2015-081H;41186
ORBCOMM FM-116;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;614.0;654.0;0.0028555111364934323;47.0;97.4;172.0;;400;5.0;Boeing Corp./Sierra Nevada Corp.;USA;Cape Canaveral;Falcon 9;2015-081L;41189
ORBCOMM FM-117;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;614.0;656.0;0.0029978586723768737;47.0;97.42;172.0;;400;5.0;Boeing Corp./Sierra Nevada Corp.;USA;Cape Canaveral;Falcon 9;2015-081K;41188
ORBCOMM FM-118;USA;USA;ORBCOMM Inc.;Commercial;Communications;;LEO;Non-Polar Inclined;0.0;615.0;658.0;0.003068579176478984;47.0;97.44;172.0;;400;5.0;Boeing Corp./Sierra Nevada Corp.;USA;Cape Canaveral;Falcon 9;2015-081E;41183
Orbweaver-1;NR;USA;DARPA/Tethers Unlimited;Military;Technology Development;;LEO;Sun-Synchronous;0.0;572.0;587.0;0.0010792143319663286;97.7;96.3;;;;;Firmamentum;USA;Vandenberg AFB;Falcon 9;2018-099AP;43795
Orbweaver-2;NR;USA;DARPA/Tethers Unlimited;Military;Technology Development;;LEO;Sun-Synchronous;0.0;572.0;592.0;0.0014384349827387803;97.7;96.3;;;;;Firmamentum;USA;Vandenberg AFB;Falcon 9;2018-099AD;43785
ORCA-2;USA;USA;Defense Advanced Research Projects Agency (DARPA);Military;Technology Development;;LEO;Non-Polar Inclined;0.0;465.0;480.0;0.0010960906101571063;51.6;93.9;9.0;;;;Blue Canyon;USA;Cygnus;SEOPS Slingshot deployer ;2019-071Q;45125
ORCA-6;NR (9/21);USA;Defense Advanced Research Projects Agency (DARPA);Military;Technology Development;;LEO;Non-Polar Inclined;0.0;492.0;501.0;0.0006553557125172941;51.6;93.9;9.0;;;;Blue Canyon;USA;Cygnus;SEOPS Slingshot deployer ;2021-013E;49015
ORCA-7;NR (9/21);USA;Defense Advanced Research Projects Agency (DARPA);Military;Technology Development;;LEO;Non-Polar Inclined;0.0;492.0;501.0;0.0006553557125172941;51.6;93.9;9.0;;;;Blue Canyon;USA;Cygnus;SEOPS Slingshot deployer ;2021-013C;49013
OreSat0;NR (4/22);USA;Portland State Aerospace Society;Civil;Technology Development;;LEO;Sun-Synchronous;0.0;506.0;543.0;0.0026832982812386684;97.5;94.5;1.0;;;;Portland State University;USA;Kodiak Island;Rocket 3.3;2022-026K;52017
ORS-5;USA;USA;F /ORSO (Operationally Responsive Space Office);Military;Technology Demonstration;;LEO;Equatorial;0.0;599.0;604.0;0.0003586028831671807;0.0;96.7;140.0;;;3.0;MIT Lincoln Laboratory;USA;Cape Canaveral;Minotaur 4;2017-050A;42921
OTB-1;USA;USA;General Atomics - Electromagnetic Systems Group;Commercial;Technology Development;;LEO;Sun-Synchronous;0.0;706.0;723.0;0.0011998023854894488;24.0;99.0;138.0;;;25.0;Surrey Satellite Technology Ltd.;UK;Cape Canaveral;Falcon Heavy;2019-036C;44341
PACE-1;NR (9/21);USA;National Aeronautics and Space Administration (NASA);Government;Technology Demonstration;;LEO;Sun-Synchronous;0.0;524.0;536.0;0.0008695652173913044;97.5;94.3;10.0;;;;NASA Ames Research Center;USA;Cape Canaveral;Falcon 9;2021-059AG;48909
Painani-1;Mexico;Mexico;Mexico Secretariat of National Defense (SEDENA);Military;Earth Observation;Optical Imaging;LEO;Non-Polar Inclined;0.0;447.0;460.0;0.0009525903128892797;45.0;93.6;4.0;;;;AIVT by Mexican University of the Army and Air Force;Mexico;Rocket Lab Launch Complex 1;Electron;2019-037A;44365
Painani-2;NR (9/21);Mexico;Mexico Secretariat of National Defense (SEDENA);Military;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;532.0;537.0;0.00036208269968860887;97.5;95.1;4.0;;;;AIVT by Mexican University of the Army and Air Force;Mexico;Cape Canaveral;Falcon 9;2021-059BB;48928
Paksat-1R;Pakistan;Pakistan;Pakistan Space and Upper Atmosphere Research Commission (SUPARCO)/PakSat International;Government/Commercial;Communications;;GEO;;38.0;35786.0;35800.0;0.00016602234186371937;0.1;1436.1;5120.0;2100;;15.0;China Aerospace Science and Technology Corp. (CASC);China;Xichang Satellite Launch Center;Long March 3B;2011-042A;37779
PakTES-1a;Pakistan;Pakistan;Pakistan Space and Upper Atmosphere Research Commission (SUPARCO);Government;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;594.0;628.0;0.002435181206130927;98.0;96.9;285.0;;;3.0;CAST/DFH Satellite Co. Ltd.;China;Jiuquan Satellite Launch Center;Long March 2C;2018-056B;43530
Palisade;New Zealand;USA;Astro Digital;Commercial;Technology Demonstration;;LEO;Polar;0.0;1207.0;1223.0;0.001054713249835201;87.9;109.8;20.0;;;;Astro Digital;USA;Rocket Lab Launch Complex 1;Electron;2019-069A;44634
207;USA;USA;National Reconnaissance Office;Military;Earth Observation;Electronic Intelligence;GEO;;47.7;35786.0;35787.0;1.1860567172322181e-05;0.03;1436.12;;;;;Lockheed Martin;USA;Cape Canaveral;Atlas 5;2009-047A;35815
PAN-A;NR (4/22);USA;National Aeronautics and Space Administration (NASA)/Cornell University;Government;Technology Development;;LEO;Non-Polar Inclined;0.0;495.0;501.0;0.00043680838672102506;45.0;94.0;4.0;;;;NASA/Cornell University;USA;Virgin Orbit;LauncherOne;2022-003A;51094
PAN-B;NR (4/22);USA;National Aeronautics and Space Administration (NASA)/Cornell University;Government;Technology Development;;LEO;Non-Polar Inclined;0.0;492.0;495.0;499.0;45.0;94.0;4.0;;;;NASA/Cornell University;USA;Virgin Orbit;LauncherOne;2022-003C;51096
ParkinsonSat-2;USA;USA;US Naval Academy;Military;Technology Development;;Elliptical;Sun-Synchronous;0.0;306.0;848.0;0.03900964445084209;28.5;96.2;6.0;;;;US Naval Academy;USA;Cape Canaveral;Falcon Heavy;2019-036R;44354
Pathfinder II;Australia;USA;Helios Wire/Echostar Global Australia;Commercial;Communications;Internet of Things (IoT);LEO;Sun-Synchronous;0.0;574.0;592.0;0.0012944052926794189;97.7;96.3;20.0;;;;Astro Digital;USA;Vandenberg AFB;Falcon 9;2018-099B;43759
Paz;Spain;Spain;Hisdesat;Military/Commercial;Earth Observation;Radar Imaging;LEO;Sun-Synchronous;0.0;503.0;518.0;0.0010900370612600828;97.4;94.8;1450.0;;;;Airbus Defense and Space;France/UK/Spain;Vandenberg AFB;Falcon 9;2018-020A;43215
Pearl White 1;USA;USA;Tiger Innovations;Commercial;Technology Development;;LEO;Non-Polar Inclined;0.0;533.0;550.0;0.0012298343340808797;45.01;95.5;8.0;;;;Tiger Innovations;USA;Rocket Lab Launch Complex 1;Electron;2019-054C;44497
Pearl White 2;USA;USA;Tiger Innovations;Commercial;Technology Development;;LEO;Non-Polar Inclined;0.0;532.0;549.0;0.0012300123001230013;45.01;95.5;8.0;;;;Tiger Innovations;USA;Rocket Lab Launch Complex 1;Electron;2019-054D;44498
PEASSS;NR;Netherlands;Netherlands Organization for Applied Scientific Research (NTO) consortium;Government;Technology Development;;LEO;Sun-Synchronous;0.0;494.0;504.0;0.0007279079924297568;97.5;94.6;10.0;;;1.0;Netherlands Organization for Applied Scientific Research (NTO) consortium;Netherlands;Satish Dhawan Space Centre;PSLV XL;2017-008BV;42015
Perseus M1;NR;Russia;Dauria Aerospace;Commercial;Communications;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;607.0;625.0;0.001288290867449184;97.99;96.99;6.0;;;;Dauria Aerospace/Canopus Systems;Russia/USA;Dombarovsky Air Base;Dnepr;2014-033AF;40039
Perseus M2;NR;Russia;Dauria Aerospace;Commercial;Communications;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;606.0;624.0;0.0012884753042233356;97.99;96.99;6.0;;;;Dauria Aerospace/Canopus Systems;Russia/USA;Dombarovsky Air Base;Dnepr;2014-033AD;40037
Cosmos 2486;Russia;Russia;Ministry of Defense;Military;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;714.0;733.0;0.0013392542468457038;98.3;99.2;7000.0;;;5.0;TsSKB Progress;Russia;Plesetsk Cosmodrome;Soyuz-2.1b;2013-028A;39177
Cosmos 2506;Russia;Russia;Ministry of Defense;Military;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;706.0;725.0;0.0013407663538211841;98.5;99.0;7000.0;;;5.0;TsSKB Progress;Russia;Plesetsk Cosmodrome;Soyuz-2.1b;2015-029A;40699
Pert-1;Peru;Peru;Peruvian Space Agency;Government;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;704.0;705.0;7.067637288854337e-05;98.2;98.7;430.0;;;10.0;Airbus Defense and Space;France;Guiana Space Center;Vega;2016-058A;41770
Photon Pathstone;USA;New Zealand;Rocket Labs ;Commercial;Technology Development;;LEO;Non-Polar Inclined;0.0;448.0;457.0;0.000659582264565775;45.0;93.6;20.0;;;;Rocket Labs;New Zealand;Rocket Lab Launch Complex 1;Electron;2021-023H;47972
PICASSO;Belgium;ESA;European Space Agency (ESA);Government;Technology Development;;LEO;Sun-Synchronous;0.0;534.0;536.0;0.0001448225923244026;97.4;95.5;4.0;;;2.0;Clyde Space Ltd./Technical Research Centre of Finland/Centre Spatial of Liège;UK/Finland/Belgium;Guiana Space Center;Vega;2020-061K;46281
PICS-1;NR (5/21);USA;Brigham Young University;Government/Civil;Technology Development;;LEO;Non-Polar Inclined;0.0;492.0;515.0;0.0016730923110496836;60.7;94.7;1.0;;;;Brigham Young University;USA;FANTM-RAiL [Xtenti];LauncherOne;2021-002J;47317
PICS-2;NR (5/21);USA;Brigham Young University;Government/Civil;Technology Development;;LEO;Non-Polar Inclined;0.0;493.0;515.0;0.0016002327611288915;60.7;94.7;1.0;;;;Brigham Young University;USA;FANTM-RAiL [Xtenti];LauncherOne;2021-002K;47318
Cosmos 2550;NR (9/21);Russia;Ministry of Defense;Military;Earth Observation;Radar Imaging/Electronic Intelligence;LEO;Polar;0.0;587.0;599.0;0.0008616975441619991;35.0;96.0;6500.0;;;5.0;KB Arsenal, RKTs Progress;Russia;Plesetsk Cosmodrome;Soyuz 2.1b;2021-056A;48865
PISAT;India;India;Indian Space Research Organization (ISRO);Government;Technology Development;Optical Imaging;LEO;Sun-Synchronous;0.0;661.0;704.0;0.0030485643388869195;98.2;94.8;6.0;;;;PES University, Bengaluru;India;Satish Dhawan Space Centre;PSLV;2016-059B;41784
PIXL-1;Germany;Germany;German Aerospace Center (DLR-IKN)/TESAT Spacecom;Government;Technology Development;;LEO;Sun-Synchronous;0.0;522.0;535.0;0.0009422338189461477;97.5;95.2;5.0;;;;GomSpace;Denmark;Cape Canaveral;Falcon 9;2021-006AM;47448
PlantSat;NR (4/22);Chile;University of Chile for Aerospace Investigation);Civil/Government;Technology Development;;LEO;Sun-Synchronous;0.0;496.0;502.0;0.00043674479545785413;97.4;95.2;4.0;;;;GomSpace;Denmark;Cape Canaveral;Falcon 9;2022-033AH;52188
Pléiades HR1A ;France;France/Italy;Ministry of Defense/Centre National d'Etudes Spatiales (CNES) - cooperation with Austria, Belgium, Spain, Sweden;Government;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;697.0;699.0;0.0001414827391058291;98.2;98.7;1000.0;;1500;5.0;Astrium;France;Guiana Space Center;Soyuz-2/Fregat;2011-076F;38012
Pléiades HR1B ;France;France;Ministry of Defense//Centre National d/Etudes Spatiales (CNES) - cooperation with Austria, Belgium, Spain, Sweden;Commercial;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;678.0;691.0;0.0009213976894181019;98.5;98.45;970.0;;;5.0;Astrium;France;Guiana Space Center;Soyuz STA/Fregat;2012-068A;39019
Pléiades Neo 3 ;NR (5/21);France;Airbus Defense and Space;Commercial;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;623.0;626.0;0.0002144542140253056;97.9;97.2;920.0;;;10.0;Airbus Defense and Space;France;Guiana Space Center;Vega;2021-034A;48268
Pléiades Neo 4;NR (9/21);France;Airbus Defense and Space;Commercial;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;615.0;617.0;0.000143143429716576;97.9;97.2;920.0;;;10.0;Airbus Defense and Space;France;Guiana Space Center;Vega;2021-072E;49070
Pléiades Yearling;NR (9/23);France;Airbus Defense and Space;Commercial;Technology Development;;LEO;Sun-Synchronous;0.0;488.0;507.0;0.001383327266108482;97.4;95.1;1.0;1;;;Airbus Defense and Space;France;Vandenberg AFB;Falcon 9;2023-054AG;56208
Polar Scout A;USA;USA;US Coast Guard;Military;Communications;;LEO;Sun-Synchronous;0.0;573.0;591.0;0.001294591484464902;97.7;96.3;6.0;;;;Raytheon;USA;Vandenberg AFB;Falcon 9;2018-099BC;43808
Polar Scout B;USA;USA;US Coast Guard;Military;Communications;;LEO;Sun-Synchronous;0.0;575.0;591.0;0.0011505824823817058;97.7;96.3;6.0;;;;Raytheon;USA;Vandenberg AFB;Falcon 9;2018-099G;43764
PolarCube;NR (5/21);USA;University of Colorado, Boulder;Government/Civil;Earth Observation;Microwave Radiometer;LEO;Non-Polar Inclined;0.0;490.0;511.0;0.0015282730514518594;60.7;94.62;4.0;;;;University of Colorado, Boulder;USA;FANTM-RAiL (Xtenti);LauncherOne;2021-002B;47310
PolyITAN-1;NR;Ukraine;National Technical University;Civil;Technology Development;;LEO;Sun-Synchronous;0.0;606.0;626.0;0.0014314342971657602;97.99;97.03;1.0;;;;National Technical University;Ukraine;Dombarovsky Air Base;Dnepr;2014-033AJ;40042
